CH_LIB_LONG_AGEC;CH_COD_PTF;CH_LIB_LONG_GRP;CH_LIB_LONG_RES;CH_LIB_DIR_RES;IND_NB_CTT_CLT_M1;IND_NB_CTT_CLT_TRIM;IND_NB_CTT_CLT_TRIM1;IND_NB_CTT_CLT_CUM_J;IND_NB_CTT_CLT_M;NB_PER_DEB_MOIS;NB_PER_DEB_ANN;NB_JRS_DEB_TRIM;NB_JRS_TRIM1;NB_JRS_MOIS;NB_JRS_MOIS1
C.A. LAHRIZI;CE1-000;GROUPE C.A. CASA LAHRIZI;RESEAU CASA SIDI BELYOUT;REGION CASABLANCA-SETTAT;24;24;29;70;24;11;141;0;65;21;22
C.A. LAHRIZI;RRE1-000;GROUPE C.A. CASA LAHRIZI;RESEAU CASA SIDI BELYOUT;REGION CASABLANCA-SETTAT;43;0;47;47;0;11;141;0;65;21;22
C.A MY ALI KETTANI;CES1-540;GROUPE C.A. CASA MY ALI KETTANI;RESEAU CASA SIDI BELYOUT;REGION CASABLANCA-SETTAT;13;0;40;122;0;11;141;0;65;21;22
C.A MY ALI KETTANI;RRE1-540;GROUPE C.A. CASA MY ALI KETTANI;RESEAU CASA SIDI BELYOUT;REGION CASABLANCA-SETTAT;69;15;148;438;15;11;141;0;65;21;22
C.A HASSAN II;DAJ-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;0;0;0;3;0;11;141;0;65;21;22
C.A HASSAN II;CES1-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;0;0;5;5;0;11;141;0;65;21;22
C.A HASSAN II;CES1-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;0;0;5;5;0;11;141;0;65;21;22
C.A HASSAN II;CES1-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;0;0;0;21;0;11;141;0;65;21;22
C.A HASSAN II;CES2-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;1;0;1;1;0;11;141;0;65;21;22
C.A HASSAN II;CES2-541;GROUPE C.A. CASA HASSAN II;RESEAU CASA CENTRE;REGION CASABLANCA-SETTAT;18;0;34;34;0;11;141;0;65;21;22
