NATURE;TYPE;STATUS;REALISE_LE;PREVU_LE;FIN_LE;CREE_LE;ENTITE;ID;POSITION;AGENCE;FLAG_APPEL;FLAG_VISITE_CLIENT
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-06;2023-01-06;2023-01-03;Centre d'affaires;1-UOLOHO;RRE1-000;0000;2;O
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKOQC;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNK9BW;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNK0Y8;CT1-1443;1443;1;N
Contact client;Entretien en agence;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKJXU;CT1-1443;1443;2;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNJYWW;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKAV6;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKEJY;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKOOE;CT1-1443;1443;1;N
Contact client;Entretien en agence;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNKQQK;CT1-1443;1443;2;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNK05C;CT1-1443;1443;1;N
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNK45S;CT1-1443;1443;1;N
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-03;2023-01-03;2023-01-02;Succursale;1-UNP29Q;RSE-1443;1443;2;O
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Succursale;1-UNP25U;RSE-1443;1443;2;O
Contact client;Entretien/ visite chez client;Réalisée;2023-01-02;2023-01-02;2023-01-02;2023-01-02;Centre d'affaires;1-UNP1ZQ;CE1-200;0200;2;O
Contact client;Appel téléphonique;A réaliser;2999-12-31;2023-01-03;2023-01-03;2023-01-02;Succursale;1-UNP6CE;CT1-1443;1443;1;N
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-03;2023-01-03;2023-01-02;Centre d'affaires;1-UNR46A;CES1-339;0339;2;O
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-03;2023-01-03;2023-01-02;Centre d'affaires;1-UNQA2O;CES1-000;0000;2;O
Contact client;Entretien/ visite chez client;A réaliser;2999-12-31;2023-01-02;2023-01-02;2023-01-02;Centre d'affaires;1-UNPV4C;RRE2-126;0126;2;O
