CREE_LE;STATUT;REALISE_LE;DIVISION;ACTIVITE_LIEE;ID_CR;POSITION;AGENCE;NATURE_ENTRETIEN
2023-01-10;Diffusé;2023-01-10;Centre d'affaires;1-US5KDO;1-US5TCW;CES1-028;0028;Autres à préciser
2023-01-02;Diffusé;2023-01-02;Centre d'affaires;1-UNP1ZQ;1-UNT6US;CE1-200;0200;Opportunités d'équipement, Demande d'information/document
2023-01-02;Diffusé;2023-01-02;Centre d'affaires;1-UNGSN0;1-UNL3P4;CE1-126;0126;Dépôts et placements
2023-01-02;Diffusé;2023-01-02;Centre d'affaires;1-UJJBQK;1-UNT12G;CES2-341;0341;Autres à préciser
2023-01-02;Diffusé;2023-01-02;Centre d'affaires;1-UJJGJ2;1-UNT112;CES2-341;0341;Autres à préciser
2023-01-03;Diffusé;2023-01-03;Centre d'affaires;1-UNY6A2;1-UOLV8C;RRE1-340;0340;Dossier de crédit, Opportunités d'équipement, Demande d'information/document
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNPW6O;1-UOWTP6;CES1-000;0000;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNQANS;1-UOYVO8;RRE2-126;0126;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNPQGA;1-UOY5WQ;RRE2-126;0126;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNQLOG;1-UOZ1R4;RRE2-126;0126;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Succursale;1-UNPB5G;1-UOXT50;RSE-1443;1443;Dossier de crédit
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNPV4C;1-UOYRB0;RRE2-126;0126;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNQA2O;1-UOS3L0;CES1-000;0000;Autres à préciser
2023-01-04;Diffusé;2023-01-04;Centre d'affaires;1-UNQ1N2;1-UOYX4Q;RRE2-126;0126;Autres à préciser
