"ID_ANNEE","CODE_ANNEE","NO_ANN","NO_ANN_N1","NO_PER_DEB_ANN","NO_PER_FIN_ANN"
"2000","A2000. ","2000","1999","1","366"
"2001","A2001. ","2001","2000","1","365"
"2002","A2002. ","2002","2001","1","365"
"2003","A2003. ","2003","2002","1","365"
"2004","A2004. ","2004","2003","1","366"
"2005","A2005. ","2005","2004","1","365"
"2006","A2006. ","2006","2005","1","365"
"2007","A2007. ","2007","2006","1","365"
"2008","A2008. ","2008","2007","1","366"
"2009","A2009. ","2009","2008","1","365"
"2010","A2010. ","2010","2009","1","365"
"2011","A2011. ","2011","2010","1","365"
"2012","A2012. ","2012","2011","1","366"
"2013","A2013. ","2013","2012","1","365"
"2014","A2014. ","2014","2013","1","365"
"2015","A2015. ","2015","2014","1","365"
"2016","A2016. ","2016","2015","1","366"
"2017","A2017. ","2017","2016","1","365"
"2018","A2018. ","2018","2017","1","365"
"2019","A2019. ","2019","2018","1","365"
"2020","A2020. ","2020","2019","1","366"
"2021","A2021. ","2021","2020","1","365"
"2022","A2022. ","2022","2021","1","365"
"2023","A2023. ","2023","2022","1","365"
"2024","A2024. ","2024","2023","1","366"
"2025","A2025. ","2025","2024","1","365"
"2026","A2026. ","2026","2025","1","365"
"2027","A2027. ","2027","2026","1","365"
"2028","A2028. ","2028","2027","1","366"
"2029","A2029. ","2029","2028","1","365"
"2030","A2030. ","2030","2029","1","365"
"2031","A2031. ","2031","2030","1","365"
"2032","A2032. ","2032","2031","1","366"
"2033","A2033. ","2033","2032","1","365"
"2034","A2034. ","2034","2033","1","365"
"2035","A2035. ","2035","2034","1","365"
"2036","A2036. ","2036","2035","1","366"
"2037","A2037. ","2037","2036","1","365"
"2038","A2038. ","2038","2037","1","365"
"2039","A2039. ","2039","2038","1","365"
"2040","A2040. ","2040","2039","1","366"
"2041","A2041. ","2041","2040","1","365"
"2042","A2042. ","2042","2041","1","365"
"2043","A2043. ","2043","2042","1","365"
"2044","A2044. ","2044","2043","1","366"
"2045","A2045. ","2045","2044","1","365"
"2046","A2046. ","2046","2045","1","365"
"2047","A2047. ","2047","2046","1","365"
"2048","A2048. ","2048","2047","1","366"
"2049","A2049. ","2049","2048","1","365"
"2050","A2050. ","2050","2049","1","365"
