"ID_MOIS","NO_ANN","CODE_ANNEE","CH_LIB_SMSTR","CODE_SEMESTRE","NO_SMSTR","CH_LIB_TRIM","CODE_TRIMESTRE","NO_TRIM","CH_LIB_MOIS","CODE_MOIS","NO_MOIS","NO_JRS_MOIS","NO_JRS_DEB_ANN","NO_PER_DEB_ANN","NO_PER_FIN_ANN","FK_ANNEE"
"200001","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","335","2000"
"200002","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","29","32","60","306","2000"
"200003","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","61","91","275","2000"
"200004","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Avril","M04. ","4","30","92","121","245","2000"
"200005","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Mai","M05. ","5","31","122","152","214","2000"
"200006","2000","A2000. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Juin","M06. ","6","30","153","182","184","2000"
"200007","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Juillet","M07. ","7","31","183","213","153","2000"
"200008","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Août","M08. ","8","31","214","244","122","2000"
"200009","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Septembre","M09. ","9","30","245","274","92","2000"
"200010","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Octobre","M10. ","10","31","275","305","61","2000"
"200011","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Novembre","M11. ","11","30","306","335","31","2000"
"200012","2000","A2000. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Décembre","M12. ","12","31","336","366","0","2000"
"200101","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","334","2001"
"200102","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","28","32","59","306","2001"
"200103","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","60","90","275","2001"
"200104","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Avril","M04. ","4","30","91","120","245","2001"
"200105","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Mai","M05. ","5","31","121","151","214","2001"
"200106","2001","A2001. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Juin","M06. ","6","30","152","181","184","2001"
"200107","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Juillet","M07. ","7","31","182","212","153","2001"
"200108","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Août","M08. ","8","31","213","243","122","2001"
"200109","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Septembre","M09. ","9","30","244","273","92","2001"
"200110","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Octobre","M10. ","10","31","274","304","61","2001"
"200111","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Novembre","M11. ","11","30","305","334","31","2001"
"200112","2001","A2001. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Décembre","M12. ","12","31","335","365","0","2001"
"200201","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","334","2002"
"200207","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Juillet","M07. ","7","31","182","212","153","2002"
"200208","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Août","M08. ","8","31","213","243","122","2002"
"200209","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Septembre","M09. ","9","30","244","273","92","2002"
"200210","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Octobre","M10. ","10","31","274","304","61","2002"
"200211","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Novembre","M11. ","11","30","305","334","31","2002"
"200212","2002","A2002. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Décembre","M12. ","12","31","335","365","0","2002"
"200301","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","334","2003"
"200302","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","28","32","59","306","2003"
"200303","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","60","90","275","2003"
"200304","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Avril","M04. ","4","30","91","120","245","2003"
"200305","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Mai","M05. ","5","31","121","151","214","2003"
"200306","2003","A2003. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Juin","M06. ","6","30","152","181","184","2003"
"200307","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Juillet","M07. ","7","31","182","212","153","2003"
"200308","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Août","M08. ","8","31","213","243","122","2003"
"200309","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 3         ","TRIM3          ","3","Septembre","M09. ","9","30","244","273","92","2003"
"200310","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Octobre","M10. ","10","31","274","304","61","2003"
"200311","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Novembre","M11. ","11","30","305","334","31","2003"
"200312","2003","A2003. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Décembre","M12. ","12","31","335","365","0","2003"
"200401","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","335","2004"
"200402","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","29","32","60","306","2004"
"200202","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","28","32","59","306","2002"
"200203","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","60","90","275","2002"
"200204","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Avril","M04. ","4","30","91","120","245","2002"
"200205","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Mai","M05. ","5","31","121","151","214","2002"
"200206","2002","A2002. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Juin","M06. ","6","30","152","181","184","2002"
"200511","2005","A2005. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Novembre","M11. ","11","30","305","334","31","2005"
"200512","2005","A2005. ","Semestre 2","SMSTR2","2","Trimestre 4         ","TRIM4          ","4","Décembre","M12. ","12","31","335","365","0","2005"
"200601","2006","A2006. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Janvier","M01. ","1","31","1","31","334","2006"
"200602","2006","A2006. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Février","M02. ","2","28","32","59","306","2006"
"200603","2006","A2006. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","60","90","275","2006"
"200403","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 1         ","TRIM1          ","1","Mars","M03. ","3","31","61","91","275","2004"
"200404","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Avril","M04. ","4","30","92","121","245","2004"
"200405","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Mai","M05. ","5","31","122","152","214","2004"
"200406","2004","A2004. ","Semestre 1","SMSTR1","1","Trimestre 2         ","TRIM2          ","2","Juin","M06. ","6","30","153","182","184","2004"
