ID_AGEC;CH_COD_AGEC;FK_GRP_RES;CH_LIB_LONG_AGEC;FK_CATEG_AGEC
-2;9999;-1;RECAP AGENCE;-1
-1;NA;-1;NON RENSEIGNE;-1
1;0001;154;CASA LIBERTE;2
2;0005;24;CASA BALADIA;2
3;0009;7;CASA MERS SULTAN;4
4;0011;143;CASA RUE KARATCHI;2
5;0015;47;DIRECTION GENERALE;5
6;0019;143;CASA MOULAY ISMAIL;2
7;0020;18;C.A. KENITRA;1
8;0024;7;BUR.SBATA   MEKNES;4
9;0028;17;C.A. MOULAY YOUSSEF;1
10;0030;85;MARRAKECH COLISEE;2
11;0034;48;KELAA SRAGHNA;2
12;0038;80;AGADIR AL INBIAAT;2
13;0042;130;SIDI KACEM MED V;2
14;0046;147;MARRAKECH BAB DOUKAL;2
15;0052;7;FES BUREAU BAB FTOUH;4
16;0056;13;C.A. FES;1
17;0063;94;AHFIR PLCE BIR ANZARANE;2
18;0067;112;AL HOCEIMA MOHAMED V;2
19;0073;12;RABAT Y.EL MANSOUR;2
20;0077;112;TARGUIST;2
21;0083;19;ESSAOUIRA GDE PLACE;2
22;0087;122;SIDI BENNOUR AV. FAR;2
23;0093;3;TETOUAN;2
24;0097;30;KHOURIBGA PRINCIPALE;2
25;0104;47;ASSAINISSEMENT BASCULE;5
26;0108;7;KENITRA ASSWAK ESSALAM;4
27;0110;81;CASA SIDI MAAROUF;2
28;0114;124;CASA OQBA IBN NAFIA;2
29;0118;141;CASA OUED EDDAHAB;2
30;0121;7;CASA LA GIRONDE;4
31;0125;11;CASA AL MASSIRA;2
32;0129;146;CASA BAGATELLE;2
33;0131;47;ALI IBEN MANSOUR;5
34;0135;47;COMPTABILITE;5
35;0139;47;SECRETARIAT GENERAL;5
36;0143;47;LOGISTIQUE ACHAT GROUPE;5
37;0147;47;SALLE DE MARCHE;3
38;0153;131;KENITRA PLCE MY YOUSSEF;2
39;0157;41;FES AL HOURIA;2
40;0162;112;BENI BOUAYACH;2
41;0166;109;KASSITA;2
42;0172;56;OUJDA SIDI ABDELWAHAB;2
43;0176;140;SUCC.TETOUAN;1
44;0182;150;CASA SIDI MOUMEN;2
45;0186;149;AIT MELLOUL AL MASSIRA;2
46;0192;41;FES MIMOSAS;2
47;0203;110;SEGHANGHANE;2
48;0207;56;DAR AL MOUKAWIL OUJDA;2
49;0213;22;CASA KHAWARIZMI;2
50;0217;146;MARJANE CASA;2
51;0222;109;DAR KEBDANI/NADOR;2
52;0226;41;FES AGDAL;2
53;0232;130;SOUK EL ARBAA TARIK INB ZIAD;2
54;0236;110;ARUIT EXPANSION;2
55;0240;7;SUCC. ABDELMOUMEN EXPANSION;4
56;0244;138;TANGER BIR ANZARANE;2
57;0248;46;TIZNIT VILLE NOUVELLE;2
58;0250;40;TANGER BETHOVEN;2
59;0254;134;FES JNANATE;2
60;0258;151;BERRECHID MOHAMED V;2
61;0261;21;CASA TWIN CENTER;2
62;0265;94;BERKANE ANDALOUS;2
63;0269;30;KHOURIBGA EL QODS;2
64;0271;7;HAY RIAD EXPANSION;4
65;0275;141;CASA MEKDAD LAHRIZI;2
66;0279;81;CASA MY ABDELLAH;2
