"ID_RES_RES","CH_COD_RES","CH_LIB_LONG_RES","FK_DIR_RES"
"1","010","RESEAU PP CASA SUD","2"
"11","020","RESEAU PP CASA NORD","2"
"12","030","RESEAU PP RABAT SALE TEMARA","4"
"4","040","RESEAU TETOUAN-EL HOCEIMA","10"
"5","050","RESEAU FES TAZA","5"
"15","060","RESEAU OUJDA BERKANE","9"
"16","070","RESEAU B.MELLAL KHENIFRA","3"
"17","080","RESEAU SOUS MASSA","6"
"18","090","RESEAU MARRAKECH SAFI","3"
"13","100","COMPTE INTERNE","1"
"14","110","GUICHET FERME","1"
"2","120","RESEAU ENTREPRISE CASA NORD","2"
"3","130","RESEAU ENTREPRISE CASA SUD","2"
"19","140","RESEAU MEKNES","5"
"20","150","RESEAU ESES RABAT SALE KENITRA","4"
"6","160","RESEAU ENTREPRISE SUD","3"
"7","170","RESEAU AGADIR SAHARA","6"
"8","180","RESEAU NADOR","9"
"9","190","RESEAU PP KENITRA GHARB","4"
"21","200","RESEAU TENSIFT DARAA TAFILALET","3"
"22","210","RESEAU SETTAT EL JADIDA","2"
"10","220","RESEAU PP CASA CENTRE","2"
"24","230","RESEAU TANGER LARACHE","10"
"25","250","RESEAU CASA CENTRE","2"
"26","250","RESEAU CASA CENTRE","2"
"37","251","RESEAU CASA EST","2"
"38","251","RESEAU CASA EST","2"
"29","252","RESEAU CASA NORD","2"
"30","252","RESEAU CASA NORD","2"
"35","253","RESEAU CASA SIDI BELYOUT","2"
"36","253","RESEAU CASA SIDI BELYOUT","2"
"31","254","RESEAU CASA SUD","2"
"32","254","RESEAU CASA SUD","2"
"27","255","RESEAU KENITRA GHARB","4"
"28","255","RESEAU KENITRA GHARB","4"
"33","256","RESEAU RABAT NORD SALE","4"
"34","256","RESEAU RABAT NORD SALE","4"
"39","257","RESEAU RABAT SUD TEMARA","4"
"40","257","RESEAU RABAT SUD TEMARA","4"
"23","300","RESEAU BANK ASSAFA","8"
"-1","NA","NON RENSEIGNE","-1"
