ID_TECH_PTF;CH_COD_PTF;FK_AGEC
1869;CT1-002             ;230
2374;CC1-002;230
2617;DA-002;230
3452;CMT1-002            ;230
4031;CM1-002;230
4854;CR1-002;230
5799;GL-002;230
2441;DA-023;234
2567;CR1-023;234
3015;CT1-023;234
3023;CC1-023;234
3091;CC2-023             ;234
3601;CMT1-023            ;234
4196;CM2-023             ;234
4716;CM1-023;234
5360;GL-023;234
724;CR1-037;237
992;CT1-037;237
1013;CA-037;237
1234;CC1-037;237
1513;CC2-037             ;237
1520;DA-037;237
3535;CMT1-037            ;237
4129;CM2-037             ;237
4673;CM1-037;237
5480;GL-037;237
6146;CR2-037;237
6149;CT2-037;237
5;CC1-041;238
1036;CT1-041;238
2611;CR1-041;238
2749;DA-041;238
3275;CC2-041             ;238
3684;CM2-041             ;238
4281;CM1-041;238
4697;CMT1-041            ;238
5942;GL-041;238
114;CT1-049;240
950;DA-049;240
1015;CC1-049;240
2932;CR1-049;240
4130;CMT1-049            ;240
4674;CM1-049;240
5313;GL-049;240
72;DA-055;242
2243;CC1-055;242
3939;CM1-055;242
5491;GL-055;242
91;CA-060;244
812;CR1-060;244
1301;DA-060;244
1366;CC1-060;244
1650;CT1-060             ;244
3848;CMT1-060            ;244
4433;CM1-060;244
4718;GL-060;244
6607;CR2-060;244
1673;CC1-068;246
1959;DA-068;246
3276;CM1-068;246
5473;GL-068;246
181;CC1-074;248
2574;DA-074;248
2699;CR1-074;248
4298;CM1-074;248
4839;CR2-074;248
5211;GL-074;248
926;CAF1-090            ;253
1011;ANL1-090            ;253
1887;DCA-090             ;253
2308;CT1-090;253
2371;ANL2-090            ;253
2911;CAF3-090            ;253
4435;CMT1-090;253
6134;GEN-090             ;253
6170;RSC-090;253
6289;CE1-090;253
6290;RCE-090;253
6291;CES2-090;253
6292;GL-090;253
6293;CES1-090;253
6294;RRE1-090;253
835;RPE-098             ;255
1275;ANL4-098            ;255
1580;DCA-098             ;255
1845;ANL3-098            ;255
2415;ANL2-098            ;255
3070;ANL1-098            ;255
3073;ANL5-098            ;255
3816;CAF4-098            ;255
4407;CAF3-098            ;255
6128;GEN-098             ;255
6238;RSC-098;255
6260;RCE-098;255
6262;DAJ-098;255
6268;RRE1-098;255
6271;CES1-098;255
6277;CE1-098;255
6284;GL-098;255
94;CC1-103;256
688;DA-103;256
4588;CM1-103;256
5481;GL-103;256
6644;CR1-103;256
22;CR1-117;259
2070;CC1-117;259
2312;DA-117;259
4283;CM1-117;259
4865;CR2-117;259
5642;GL-117;259
1084;DA-122;260
1149;CC1-122;260
1364;CA-122;260
1909;CR1-122;260
2702;CR2-122;260
4300;CM1-122;260
5362;GL-122;260
6505;CR3-122;260
625;CC1-154;268
1953;CR1-154;268
2139;DA-154;268
4610;CM1-154;268
4934;GL-154;268
374;CR1-169;272
1020;CC1-169;272
2227;DA-169;272
4346;CM1-169;272
5957;GL-169;272
6648;CR2-169;272
1043;DA-175;274
1941;CC1-175;274
2089;CT1-175;274
2304;CR1-175;274
3356;CM1-175;274
4392;CMT1-175            ;274
5463;GL-175;274
1350;DA-185;277
2556;CC1-185;277
2936;CR1-185             ;277
3004;CT1-185;277
3605;CM1-185;277
4611;CMT1-185            ;277
5521;GL-185;277
198;CR1-191;279
713;CC1-191;279
2315;DA-191;279
3628;CM1-191;279
4830;CR2-191;279
5363;GL-191;279
6259;CT1-191;279
353;ANL1-200;281
488;CAFGE3-200;281
795;CAFGE2-200;281
2414;RPE-200;281
2502;DCA-200;281
2679;ANL2-200;281
6121;GEN-200;281
6231;RSC-200;281
6331;CES1-200;281
6347;RCE-200;281
6361;CE1-200;281
6374;GL-200;281
6382;DAJ-200;281
246;CT1-208;283
1087;DA-208;283
2644;CC1-208;283
2656;CR1-208;283
3215;CMT1-208            ;283
3729;CM1-208;283
4900;GL-208;283
1152;CC1-214;285
2403;DA-214;285
2436;CR1-214;285
2440;CT1-214             ;285
3521;CMT1-214            ;285
4107;CM1-214;285
4946;GL-214;285
561;DA-221;287
1766;CC1-221;287
4017;CM1-221;287
5203;GL-221;287
6746;CR1-221;287
1219;DA-229;289
1475;CT1-229;289
2776;CC1-229;289
3651;CM1-229;289
4653;CMT1-229            ;289
5841;GL-229;289
933;CC1-235;291
2184;DA-235;291
3666;CM1-235;291
5340;GL-235;291
649;DA-243;293
1778;CR1-243;293
1898;CC1-243;293
3685;CM1-243;293
5026;GL-243;293
3216;CC1-257;296
3630;DA-257;296
4224;CM1-257;296
5443;GL-257;296
143;CC1-262;297
1351;DA-262;297
3338;CM1-262;297
5788;GL-262;297
781;DA-276;300
1559;CR1-276;300
2074;CC1-276;300
4410;CM1-276;300
5789;GL-276;300
825;DA-286;302
1416;CC1-286;302
3478;CM1-286;302
5222;GL-286;302
275;CC1-292;303
1439;DA-292;303
3631;CM1-292;303
4087;CT1-292             ;303
4629;CMT1-292            ;303
4837;CR1-292;303
5178;GL-292;303
1834;DA-301;305
2733;CC1-301;305
3296;CM1-301;305
5069;GL-301;305
627;CC1-309;307
2185;DA-309;307
4226;CM1-309;307
4794;CR1-309;307
5054;GL-309;307
650;DA-315;309
1899;CC1-315;309
4038;CM1-315;309
5164;GL-315;309
1308;DA-334;315
2514;CC1-334;315
3479;CM1-334;315
4913;GL-334;315
6078;CR1-334;315
1212;CT1-342;317
1296;CR1-342;317
1517;CR2-342;317
1636;CC1-342;317
2285;CA-342;317
2537;DA-342;317
3586;CMT1-342            ;317
4159;CM1-342;317
5504;GL-342;317
6477;CM2-342;317
6478;CC2-342;317
715;CC1-356;320
1647;CR1-356;320
1703;DA-356;320
4039;CM1-356;320
4860;CR2-356;320
5484;GL-356;320
155;CR1-363;321
2075;CC1-363;321
2361;DA-363;321
4138;CM1-363;321
5815;GL-363;321
1154;CC1-377;324
1484;DA-377;324
4206;CM1-377;324
5165;GL-377;324
2757;DA-393;327
2778;CC1-393;327
3239;CM1-393;327
5985;GL-393;327
6739;CR1-393;327
507;CR1-406;330
1900;CC1-406;330
2230;DA-406;330
4594;CM1-406;330
5166;GL-406;330
1046;DA-412;331
2471;CC1-412;331
4493;CM1-412;331
5643;GL-412;331
168;DA-427;334
2295;CC1-427;334
3612;CM1-427;334
5057;GL-427;334
716;CC1-433;335
1165;CR1-433;335
1748;DA-433;335
4141;CM1-433;335
5986;GL-433;335
2406;DA-451;340
2427;CC1-451;340
4416;CM1-451;340
5080;GL-451;340
541;CC1-459;342
871;DA-459;342
3300;CM1-459;342
5223;GL-459;342
300;DA-464;344
321;CC1-464             ;344
3024;CR1-464             ;344
4684;CM1-464;344
5791;GL-464;344
6787;CT1-464;344
6789;CT2-464;344
6790;CM2-464;344
1199;CC1-470;346
1529;DA-470;346
1607;CT1-470;346
2875;CR1-470             ;346
3281;CMT1-470            ;346
3827;CM1-470;346
5465;GL-470;346
639;CR1-478;348
1857;CC1-478;348
2187;DA-478;348
3159;CT1-478;348
4208;CMT1-478            ;348
4723;CM1-478;348
5509;GL-478;348
25;CR2-480;349
683;CR1-480;349
1145;CA-480;349
1243;CC1-480;349
1880;DA-480;349
3797;CM1-480;349
5612;GL-480;349
6820;CR3-480;349
24;CR1-488;351
58;CC1-488;351
69;CR2-488;351
696;DA-488;351
838;CA-488;351
993;CT1-488;351
2215;CC2-488;351
3403;CM1-488;351
3828;CMT1-488            ;351
4417;CM2-488;351
4836;CR3-488;351
5095;GL-488;351
6618;CR4-488             ;351
1024;CC1-494;353
1310;DA-494;353
3613;CM1-494;353
4823;CR1-494;353
4882;GL-494;353
115;CT1-507;356
146;CC1-507;356
433;DA-507;356
4209;CMT1-507            ;356
4724;CM1-507;356
5613;GL-507;356
828;DA-526;360
2648;CC1-526;360
4634;CM1-526;360
5073;GL-526;360
727;CR1-532;361
1463;CC1-532;361
2451;DA-532;361
2573;CT1-532;361
3856;CMT1-532            ;361
4440;CM1-532;361
5917;GL-532;361
301;DA-544;364
1770;CC1-544;364
3419;CM1-544;364
5804;GL-544;364
6735;CR1-544;364
6749;CR2-544;364
609;DA-565;370
2780;CC1-565;370
4023;CM1-565;370
5638;GL-565;370
3284;DA-581;375
3832;CM1-581;375
4419;CC1-581;375
5019;GL-581;375
82;DA-589;377
2209;CC1-589;377
3857;CM1-589;377
5598;GL-589;377
1004;DA-595;379
1025;CC1-595;379
1122;CR1-595;379
3636;CM1-595;379
5971;GL-595;379
6652;CR2-595;379
367;CC1-604;382
1399;DA-604;382
3614;CM1-604;382
5040;GL-604;382
1683;CC1-610;384
2320;DA-610;384
4456;CM1-610;384
5058;GL-610;384
214;DA-618;386
2034;CC1-618;386
3902;CM1-618;386
5205;GL-618;386
829;DA-625;388
2649;CC1-625;388
3487;GL-625;388
4617;CM1-625;388
1157;CC1-631;390
2452;DA-631;390
4334;CM1-631;390
5989;GL-631;390
6646;CR1-631;390
346;DA-639;392
1815;CC1-639;392
4353;CM1-639;392
5020;GL-639;392
2166;CC1-647;394
2804;DA-647;394
4399;CM1-647;394
5169;GL-647;394
675;CC1-653;395
961;DA-653;395
3637;CM1-653;395
5182;GL-653;395
1947;CC1-666;398
2541;DA-666;398
3713;CM1-666;398
5109;GL-666;398
412;CC1-672;399
1400;DA-672;399
4577;CM1-672;399
5531;GL-672;399
786;DA-682;401
2606;CC1-682;401
3343;CM1-682;401
5456;GL-682;401
2409;DA-696;404
2430;CC1-696;404
3319;CM1-696;404
5820;GL-696;404
280;CC1-705;406
303;DA-705;406
3344;CM1-705;406
5972;GL-705;406
895;CC1-711;408
918;DA-711;408
4211;CM1-711;408
5225;GL-711;408
1269;DA-719;410
3222;CM1-719;410
3739;CC1-719             ;410
5832;GL-719;410
17;CC1-724;412
84;DA-724;412
4165;CM1-724;412
5625;GL-724;412
1006;DA-730;414
1290;CC1-730;414
3527;CM1-730;414
5369;GL-730;414
1664;DA-738;416
1948;CC1-738;416
4272;CM1-738;416
5320;GL-738;416
6733;CR1-738;416
149;CC1-746;418
2322;DA-746;418
3407;CM1-746;418
5227;GL-746;418
720;CC1-752;419
743;DA-752;419
4252;CM1-752;419
5673;GL-752;419
2431;CC1-767;422
2454;DA-767;422
3948;CM1-767;422
5045;GL-767;422
2695;CC1-773;423
2718;DA-773;423
3247;CM1-773;423
5471;GL-773;423
2783;CC1-783;425
2806;DA-783;425
4579;CM1-783;425
5046;GL-783;425
6657;CR1-783;425
1598;CC1-797;428
1621;DA-797;428
4541;CM1-797;428
5373;GL-797;428
2520;CC1-802;429
2543;DA-802;429
3931;CM1-802;429
5189;GL-802;429
1993;CC1-816;432
2323;DA-816;432
3784;CM1-816;432
5457;GL-816;432
194;CC1-823;433
2631;DA-823;433
4500;CM1-823;433
5358;GL-823;433
1446;DA-837;436
1467;CC1-837;436
4356;CM1-837;436
4920;GL-837;436
569;DA-841;437
2696;CC1-841;437
3863;CM1-841;437
5949;GL-841;437
897;CC1-849;439
1227;DA-849;439
3442;CM1-849;439
4763;CC2-849             ;439
5798;GL-849;439
1862;CC1-855;441
2192;DA-855;441
3695;CR1-855;441
4289;CM1-855;441
5808;GL-855;441
657;DA-860;443
678;CC1-860;443
4665;CM1-860;443
